what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1293043654158
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293043657545
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293043657687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293043658065
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293043665284
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293043674198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1293043681758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293043684637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293043684772
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293043685720
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293043702392
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1293043702725
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1293043704739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043705510
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043706491
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293043710247
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293043713394
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293043713792
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293043715917
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293043730086
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293043743101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1293043753041
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293043754525
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1293043762634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043763226
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043824830
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043828766
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043847429
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1293043851045
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043851391
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1293043889596
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1293043889711
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043891297
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1293043891411
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1293043893163
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1293043898712
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1293043898865
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043901523
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1293043920206
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1293043920206
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043920221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043924284
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1293043973348
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1293043973348
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043973362
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293043978864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293044027065
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1293044029289
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1293044029352
